,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Ai Preto,0.953,0.57,6,-5.149,1,0.245,0.537,0.0,0.0993,0.834,129.947,audio_features,5vC8UAOHeG95ehRzZChniB,spotify:track:5vC8UAOHeG95ehRzZChniB,https://api.spotify.com/v1/tracks/5vC8UAOHeG95ehRzZChniB,https://api.spotify.com/v1/audio-analysis/5vC8UAOHeG95ehRzZChniB,131583,4
1,October,0.445,0.367,0,-13.086,1,0.0452,0.761,0.075,0.0987,0.202,155.675,audio_features,0AjcdGri5vhJsmZnduCEqd,spotify:track:0AjcdGri5vhJsmZnduCEqd,https://api.spotify.com/v1/tracks/0AjcdGri5vhJsmZnduCEqd,https://api.spotify.com/v1/audio-analysis/0AjcdGri5vhJsmZnduCEqd,165592,4
2,canseira,0.755,0.82,7,-4.413,0,0.0288,0.227,5.66e-05,0.095,0.814,137.001,audio_features,6RMGH9S2DGpMyt2XtpNu14,spotify:track:6RMGH9S2DGpMyt2XtpNu14,https://api.spotify.com/v1/tracks/6RMGH9S2DGpMyt2XtpNu14,https://api.spotify.com/v1/audio-analysis/6RMGH9S2DGpMyt2XtpNu14,191953,4
3,City,0.492,0.116,2,-15.15,0,0.0379,0.899,1.93e-06,0.0888,0.434,111.787,audio_features,1xk2Z84gbcn4tPXiiutxzS,spotify:track:1xk2Z84gbcn4tPXiiutxzS,https://api.spotify.com/v1/tracks/1xk2Z84gbcn4tPXiiutxzS,https://api.spotify.com/v1/audio-analysis/1xk2Z84gbcn4tPXiiutxzS,149720,4
4,Dandara,0.813,0.688,7,-6.206,0,0.0384,0.202,0.00257,0.0387,0.546,110.014,audio_features,6E1C76vwvkS0S3xFazdiCp,spotify:track:6E1C76vwvkS0S3xFazdiCp,https://api.spotify.com/v1/tracks/6E1C76vwvkS0S3xFazdiCp,https://api.spotify.com/v1/audio-analysis/6E1C76vwvkS0S3xFazdiCp,216808,4
5,Sleep Talking,0.518,0.217,9,-14.02,0,0.0479,0.31,0.0096,0.0682,0.237,168.219,audio_features,02YWpfMAUVTvsbhu3QO9fM,spotify:track:02YWpfMAUVTvsbhu3QO9fM,https://api.spotify.com/v1/tracks/02YWpfMAUVTvsbhu3QO9fM,https://api.spotify.com/v1/audio-analysis/02YWpfMAUVTvsbhu3QO9fM,186987,4
6,Keep the Car Running,0.447,0.887,2,-5.612,1,0.0271,0.000597,0.000123,0.96,0.525,99.233,audio_features,3LR0zMkAWQEaFSpj1VNaOr,spotify:track:3LR0zMkAWQEaFSpj1VNaOr,https://api.spotify.com/v1/tracks/3LR0zMkAWQEaFSpj1VNaOr,https://api.spotify.com/v1/audio-analysis/3LR0zMkAWQEaFSpj1VNaOr,205320,4
7,Atlas Hands,0.63,0.316,6,-11.885,1,0.0293,0.898,0.00217,0.0616,0.477,82.529,audio_features,3JEye8rsrvGdlrBvZUgNIL,spotify:track:3JEye8rsrvGdlrBvZUgNIL,https://api.spotify.com/v1/tracks/3JEye8rsrvGdlrBvZUgNIL,https://api.spotify.com/v1/audio-analysis/3JEye8rsrvGdlrBvZUgNIL,173091,4
8,Meditação,0.404,0.425,7,-12.756,0,0.0334,0.846,0.0105,0.188,0.555,83.899,audio_features,1KcrfXWVdStS6UtSxmzGps,spotify:track:1KcrfXWVdStS6UtSxmzGps,https://api.spotify.com/v1/tracks/1KcrfXWVdStS6UtSxmzGps,https://api.spotify.com/v1/audio-analysis/1KcrfXWVdStS6UtSxmzGps,137800,4
9,Ninguém,0.51,0.185,11,-9.43,0,0.0707,0.913,1.29e-06,0.138,0.207,182.068,audio_features,5O4lp65sEWenlviCdYdeOG,spotify:track:5O4lp65sEWenlviCdYdeOG,https://api.spotify.com/v1/tracks/5O4lp65sEWenlviCdYdeOG,https://api.spotify.com/v1/audio-analysis/5O4lp65sEWenlviCdYdeOG,190592,3
